field_1,GTFS Stop ID,Station ID,Complex ID,Division,Line,Stop Name,Borough,CBD,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference
"2",S01,"139","627",BMT,Franklin Shuttle,Franklin Av,Bk,false,S,Elevated,40.680596,-73.955827,Last Stop,Prospect Park,"1",true,true,,POINT (-73.955827 40.680596)
"4",M01,"108","108",BMT,Myrtle Av,Middle Village-Metropolitan Av,Q,false,M,Elevated,40.711396,-73.889601,Inbound,Last Stop,"1",true,true,,POINT (-73.889601 40.711396)
"7","615","373","373",IRT,Pelham,E 149 St,Bx,false,"6",Subway,40.812118,-73.904098,Northbound,Manhattan,"1",true,true,,POINT (-73.904098 40.812118)
"11","233","336","336",IRT,Eastern Pky,Hoyt St,Bk,false,2 3,Subway,40.690545,-73.985065,Manhattan,Outbound,"2",false,true,Outbound only,POINT (-73.985065 40.690545)
"16","604","363","363",IRT,Pelham,Westchester Sq-E Tremont Av,Bx,false,"6",Elevated,40.839892,-73.842952,Pelham Bay,Manhattan,"1",true,true,,POINT (-73.842952 40.839892)
"33",M16,"101","101",BMT,Jamaica,Marcy Av,Bk,false,M J Z,Elevated,40.708359,-73.957757,Outbound,Manhattan,"1",true,true,,POINT (-73.957757 40.708359)
"36",A41,"174","636",IND,8th Av - Fulton St,Jay St-MetroTech,Bk,false,A C F,Subway,40.692338,-73.987342,Manhattan,Outbound,"1",true,true,,POINT (-73.987342 40.692338)
"44","503","444","444",IRT,Dyre Av,Gun Hill Rd,Bx,false,"5",Open Cut,40.869526,-73.846384,Eastchester,Manhattan,"1",true,true,,POINT (-73.846384 40.869526)
"46",G29,"285","629",IND,Crosstown,Metropolitan Av,Bk,false,G,Subway,40.712792,-73.951418,Queens,Southbound,"1",true,true,,POINT (-73.951418 40.712792)
"47",G21,"273","273",IND,Queens Blvd,Queens Plaza,Q,false,E M R,Subway,40.748973,-73.937243,Outbound,Manhattan,"1",true,true,,POINT (-73.937243 40.748973)
