,GTFS Stop ID,Station ID,Complex ID,Division,Line,Stop Name,Borough,CBD,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference
0,127,317,611,IRT,Broadway - 7Av,Times Sq-42 St,M,True,1 2 3,Subway,40.75529,-73.987495,Uptown,Downtown,1,1,1,,POINT (-73.987495 40.75529)
2,S01,139,627,BMT,Franklin Shuttle,Franklin Av,Bk,False,S,Elevated,40.680596,-73.955827,Last Stop,Prospect Park,1,1,1,,POINT (-73.955827 40.680596)
4,M01,108,108,BMT,Myrtle Av,Middle Village-Metropolitan Av,Q,False,M,Elevated,40.711396,-73.889601,Inbound,Last Stop,1,1,1,,POINT (-73.889601 40.711396)
5,726,471,471,IRT,Flushing,34 St-Hudson Yards,M,True,7,Subway,40.755882,-74.00191,Last Stop,Queens,1,1,1,,POINT (-74.00191 40.755882)
7,615,373,373,IRT,Pelham,E 149 St,Bx,False,6,Subway,40.812118,-73.904098,Northbound,Manhattan,1,1,1,,POINT (-73.904098 40.812118)
11,233,336,336,IRT,Eastern Pky,Hoyt St,Bk,False,2 3,Subway,40.690545,-73.985065,Manhattan,Outbound,2,0,1,Outbound only,POINT (-73.985065 40.690545)
16,604,363,363,IRT,Pelham,Westchester Sq-E Tremont Av,Bx,False,6,Elevated,40.839892,-73.842952,Pelham Bay,Manhattan,1,1,1,,POINT (-73.842952 40.839892)
33,M16,101,101,BMT,Jamaica,Marcy Av,Bk,False,M J Z,Elevated,40.708359,-73.957757,Outbound,Manhattan,1,1,1,,POINT (-73.957757 40.708359)
36,A41,174,636,IND,8th Av - Fulton St,Jay St-MetroTech,Bk,False,A C F,Subway,40.692338,-73.987342,Manhattan,Outbound,1,1,1,,POINT (-73.987342 40.692338)
42,418,412,628,IRT,Lexington Av,Fulton St,M,True,4 5,Subway,40.710368,-74.009509,Uptown,Downtown,1,1,1,,POINT (-74.009509 40.710368)
44,503,444,444,IRT,Dyre Av,Gun Hill Rd,Bx,False,5,Open Cut,40.869526,-73.846384,Eastchester,Manhattan,1,1,1,,POINT (-73.846384 40.869526)
46,G29,285,629,IND,Crosstown,Metropolitan Av,Bk,False,G,Subway,40.712792,-73.951418,Queens,Southbound,1,1,1,,POINT (-73.951418 40.712792)
47,G21,273,273,IND,Queens Blvd,Queens Plaza,Q,False,E M R,Subway,40.748973,-73.937243,Outbound,Manhattan,1,1,1,,POINT (-73.937243 40.748973)
56,725,467,611,IRT,Flushing,Times Sq-42 St,M,True,7,Subway,40.755477,-73.987691,Queens,Hudson Yards,1,1,1,,POINT (-73.987691 40.755477)
58,H01,196,196,IND,Rockaway,Aqueduct Racetrack,Q,False,A,At Grade,40.672097,-73.835919,Manhattan,Rockaways,1,1,1,,POINT (-73.835919 40.672097)
65,238,341,341,IRT,Eastern Pky,Eastern Pkwy-Brooklyn Museum,Bk,False,2 3,Subway,40.671987,-73.964375,Manhattan,Outbound,1,1,1,,POINT (-73.964375 40.671987)
66,637,408,619,IRT,Lexington Av,Bleecker St,M,True,6,Subway,40.725915,-73.994659,Uptown,Downtown,1,1,1,,POINT (-73.994659 40.725915)
69,A15,153,153,IND,8th Av - Fulton St,125 St,M,False,A C B D,Subway,40.811109,-73.952343,Uptown,Downtown,1,1,1,,POINT (-73.952343 40.811109)
80,L10,121,629,BMT,Canarsie,Lorimer St,Bk,False,L,Subway,40.714063,-73.950275,Manhattan,Outbound,1,1,1,,POINT (-73.950275 40.714063)
86,D03,211,211,IND,Concourse,Bedford Park Blvd,Bx,False,B D,Subway,40.873244,-73.887138,Northbound,Manhattan,1,1,1,,POINT (-73.887138 40.873244)
92,Q05,475,475,IND,Second Av,96 St,M,False,Q,Subway,40.784318,-73.947152,Last Stop,Downtown,1,1,1,,POINT (-73.947152 40.784318)
93,229,332,628,IRT,Clark St,Fulton St,M,True,2 3,Subway,40.709416,-74.006571,Uptown,Brooklyn,1,1,1,,POINT (-74.006571 40.709416)
97,R30,26,26,BMT,Broadway - Brighton,DeKalb Av,Bk,False,B Q R,Subway,40.690635,-73.981824,Manhattan,Southbound,1,1,1,,POINT (-73.981824 40.690635)
98,633,404,404,IRT,Lexington Av,28 St,M,True,6,Subway,40.74307,-73.984264,Uptown,Downtown,2,0,1,Downtown only,POINT (-73.984264 40.74307)
100,B04,221,221,IND,63rd St,21 St-Queensbridge,Q,False,F,Subway,40.754203,-73.942836,Outbound,Manhattan,1,1,1,,POINT (-73.942836 40.754203)
104,R29,25,636,BMT,Broadway,Jay St-MetroTech,Bk,False,R,Subway,40.69218,-73.985942,Manhattan,Southbound,1,1,1,,POINT (-73.985942 40.69218)
107,D24,40,617,BMT,Broadway - Brighton,Atlantic Av-Barclays Ctr,Bk,False,B Q,Subway,40.68446,-73.97689,Manhattan,Southbound,1,1,1,,POINT (-73.97689 40.68446)
109,F27,243,243,IND,6th Av - Culver,Church Av,Bk,False,F G,Subway,40.644041,-73.979678,Northbound,Southbound,1,1,1,,POINT (-73.979678 40.644041)
112,414,389,604,IRT,Jerome Av,161 St-Yankee Stadium,Bx,False,4,Elevated,40.827994,-73.925831,Northbound,Manhattan,1,1,1,,POINT (-73.925831 40.827994)
114,132,322,601,IRT,Broadway - 7Av,14 St,M,True,1 2 3,Subway,40.737826,-74.000201,Uptown,Downtown,1,1,1,,POINT (-74.000201 40.737826)
120,F01,254,254,IND,Queens Blvd,Jamaica-179 St,Q,False,F,Subway,40.712646,-73.783817,Last Stop,Manhattan,1,1,1,,POINT (-73.783817 40.712646)
