InputID,TargetID,Distance
POINT (-74.178217 40.54046),POINT (-74.16457 40.544601),1244.18882440059
POINT (-73.955827 40.680596),POINT (-73.956848 40.68138),122.596690745383
POINT (-73.902447 40.663515),POINT (-73.900571 40.664038),168.934045161094
POINT (-73.889601 40.711396),POINT (-73.895877 40.706186),784.859325505206
POINT (-73.912549 40.744149),POINT (-73.918435 40.743132),509.80037396884
POINT (-73.904098 40.812118),POINT (-73.907657 40.808719),482.340179087333
POINT (-73.935657 40.697207),POINT (-73.941126 40.70026),573.229712456631
POINT (-73.974197 40.61514),POINT (-73.975264 40.620769),631.568039688185
POINT (-73.985065 40.690545),POINT (-73.985942 40.69218),196.113421938507
POINT (-73.903077 40.704423),POINT (-73.90774 40.702762),435.105739756509
POINT (-74.074835 40.636949),POINT (-74.073643 40.643748),761.711680504782
POINT (-74.02551 40.629742),POINT (-74.023377 40.634967),607.633386826599
POINT (-73.842952 40.839892),POINT (-73.847036 40.836488),511.410313977531
POINT (-73.9134 40.839306),POINT (-73.917791 40.840075),380.050087460704
POINT (-73.90177 40.819585),POINT (-73.896736 40.822181),513.286801391843
POINT (-73.974574 40.581011),POINT (-73.975939 40.576127),554.524981616231
POINT (-73.979137 40.597473),POINT (-73.97823 40.592721),533.246957683576
POINT (-73.874516 40.829521),POINT (-73.879159 40.828584),405.234320899192
POINT (-73.975264 40.620769),POINT (-73.976127 40.625322),510.841109466122
POINT (-73.986829 40.597704),POINT (-73.979137 40.597473),651.592970469749
POINT (-73.941617 40.798629),POINT (-73.94425 40.79502),458.257548847272
POINT (-73.827559 40.583209),POINT (-73.820558 40.585307),636.858883997125
POINT (-73.820574 40.709179),POINT (-73.816859 40.702566),798.655427893833
POINT (-73.95036 40.826551),POINT (-73.953676 40.822008),576.864535671654
POINT (-73.927271 40.865491),POINT (-73.925536 40.860531),569.906233813835
POINT (-73.957757 40.708359),POINT (-73.953431 40.70687),401.228268942228
POINT (-73.948916 40.742216),POINT (-73.949724 40.744065),216.373542703977
POINT (-73.954882 40.805085),POINT (-73.958161 40.800603),569.468552328163
POINT (-73.987342 40.692338),POINT (-73.985942 40.69218),119.629075975613
POINT (-74.010006 40.648939),POINT (-74.014034 40.645069),548.417901512968
POINT (-73.896548 40.674542),POINT (-73.898654 40.676992),325.151634519374
POINT (-73.96007 40.688873),POINT (-73.953522 40.689627),559.793808764066
POINT (-73.963891 40.640927),POINT (-73.964492 40.644031),348.418680674854
POINT (-73.928781 40.752039),POINT (-73.932755 40.752882),348.413099621065
POINT (-73.868457 40.848828),POINT (-73.867615 40.857192),931.540725489052
POINT (-73.846384 40.869526),POINT (-73.838591 40.878663),1208.76089761388
POINT (-74.00061 40.613501),POINT (-74.001736 40.607954),623.301554199165
POINT (-73.951418 40.712792),POINT (-73.950275 40.714063),171.024118635514
POINT (-73.937243 40.748973),POINT (-73.940202 40.750582),307.202526600081
POINT (-73.937243 40.748973),POINT (-73.940202 40.750582),307.202526600081
POINT (-73.897174 40.86776),POINT (-73.893509 40.866978),320.945034871598
POINT (-73.929412 40.855225),POINT (-73.93418 40.859022),582.597218078812
POINT (-73.852719 40.726523),POINT (-73.861604 40.729846),836.407646701087
POINT (-73.905316 40.678334),POINT (-73.904512 40.679498),146.041788043766
POINT (-73.912034 40.775036),POINT (-73.917843 40.770258),722.522857868615
POINT (-73.948411 40.639967),POINT (-73.948959 40.645098),571.664633888064
POINT (-73.922913 40.706607),POINT (-73.918425 40.703811),490.157998489506
POINT (-74.09609 40.588849),POINT (-74.103338 40.583591),847.013447523738
POINT (-73.835919 40.672097),POINT (-73.834058 40.668234),456.925687966172
POINT (-73.884639 40.679947),POINT (-73.880039 40.68141),421.455412698323
POINT (-73.968916 40.785868),POINT (-73.972143 40.781433),562.812641287667
POINT (-73.86505 40.677044),POINT (-73.858992 40.679371),573.658745746594
POINT (-73.898453 40.749669),POINT (-73.896403 40.746325),409.72447835956
