InputID,TargetID,Distance
POINT (-73.955827 40.680596),POINT (-73.956848 40.68138),122.596690745383
POINT (-73.889601 40.711396),POINT (-73.911586 40.699814),2259.66079809675
POINT (-73.904098 40.812118),POINT (-73.917757 40.816109),1234.71104403879
POINT (-73.985065 40.690545),POINT (-73.985942 40.69218),196.113421938507
POINT (-73.842952 40.839892),POINT (-73.828121 40.852462),1874.25436489341
POINT (-73.957757 40.708359),POINT (-73.951418 40.712792),727.507711265836
POINT (-73.987342 40.692338),POINT (-73.985942 40.69218),119.629075975613
POINT (-73.846384 40.869526),POINT (-73.866256 40.87785),1913.252600771
POINT (-73.951418 40.712792),POINT (-73.950275 40.714063),171.024118635514
POINT (-73.937243 40.748973),POINT (-73.940202 40.750582),307.202526600081
POINT (-73.937243 40.748973),POINT (-73.940202 40.750582),307.202526600081
POINT (-73.835919 40.672097),POINT (-73.830301 40.660476),1375.14192320895
POINT (-73.964375 40.671987),POINT (-73.957624 40.674772),649.191109995768
POINT (-73.952343 40.811109),POINT (-73.94077 40.814229),1036.09705916236
POINT (-73.950275 40.714063),POINT (-73.951418 40.712792),171.024118635514
POINT (-73.887138 40.873244),POINT (-73.893509 40.866978),879.008151342854
POINT (-73.947152 40.784318),POINT (-73.951787 40.777891),813.922927350516
POINT (-73.981824 40.690635),POINT (-73.985065 40.690545),274.135546785237
POINT (-73.942836 40.754203),POINT (-73.940202 40.750582),459.533253780485
POINT (-73.942836 40.754203),POINT (-73.940202 40.750582),459.533253780485
POINT (-73.985942 40.69218),POINT (-73.987342 40.692338),119.629075975613
POINT (-73.97689 40.68446),POINT (-73.977666 40.684359),66.5512275278495
POINT (-73.979678 40.644041),POINT (-73.980305 40.666271),2469.14979041268
POINT (-73.925831 40.827994),POINT (-73.925651 40.827905),18.1170277579499
POINT (-73.783817 40.712646),POINT (-73.801109 40.702147),1869.39918741481
POINT (-73.993728 40.601875),POINT (-73.996353 40.624842),2560.05958021277
POINT (-73.873488 40.841894),POINT (-73.867615 40.857192),1769.57329956287
POINT (-73.951787 40.777891),POINT (-73.955589 40.779492),366.903320053405
POINT (-73.866256 40.87785),POINT (-73.857473 40.893193),1857.71629830607
POINT (-73.981233 40.577422),POINT (-73.993728 40.601875),2914.15477266259
POINT (-73.96387 40.768141),POINT (-73.966113 40.764629),433.55396614016
POINT (-73.906006 40.752885),POINT (-73.902984 40.74563),845.118705748982
POINT (-73.90185 40.646654),POINT (-73.900571 40.664038),1933.47349612437
POINT (-73.943832 40.746554),POINT (-73.945264 40.747023),131.679066626913
POINT (-73.98197 40.778453),POINT (-73.982209 40.77344),557.057047861725
POINT (-73.932942 40.668897),POINT (-73.930729 40.679364),1177.29855000455
