address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce
"3236 BOSTON RD NEW YORK, NY 10469 ",3236,BOSTON RD,NEW YORK,NY,10469,-73.854792,40.872162,36,005,034800,1
"970 AMSTERDAM AVE NEW YORK, NY 10025 ",970,AMSTERDAM AVE,NEW YORK,NY,10025,-73.965107,40.801581,36,061,019500,4
"1623 DECATUR ST NEW YORK, NY 11385 ",1623,DECATUR ST,NEW YORK,NY,11385,-73.90136,40.694898,36,081,055900,1
"12-06 151 PL NEW YORK, NY 11357 ",12-06,151 PL,NEW YORK,NY,11357,-73.811475,40.79127,36,081,098700,2
"135 BCH 56 PL NEW YORK, NY 11692 ",135,BCH 56 PL,NEW YORK,NY,11692,-73.787031,40.590884,36,081,097202,1
"196 ROSEDALE AVE NEW YORK, NY 10312 ",196,ROSEDALE AVE,NEW YORK,NY,10312,-74.195661,40.547968,36,085,017014,1
"519 MADISON AVE NEW YORK, NY 10022 ",519,MADISON AVE,NEW YORK,NY,10022,-73.973895,40.759931,36,061,010200,1
"197-26 CARPENTER AVE NEW YORK, NY 11423 ",197-26,CARPENTER AVE,NEW YORK,NY,11423,-73.762244,40.711682,36,081,050000,1
"63-62 77 ST NEW YORK, NY 11379 ",63-62,77 ST,NEW YORK,NY,11379,-73.878306,40.718089,36,081,066100,1
"120-36 143 ST NEW YORK, NY 11436 ",120-36,143 ST,NEW YORK,NY,11436,-73.795799,40.675556,36,081,018200,1
