address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce
"125 MEISNER AVE NEW YORK, NY 10306 ",125,MEISNER AVE,NEW YORK,NY,10306,-74.131756,40.579843,36,085,027900,1
"31 W 71 ST NEW YORK, NY 10023 ",31,W  71 ST,NEW YORK,NY,10023,-73.97769,40.776165,36,061,015700,3
"660 BAY ST NEW YORK, NY 10304 ",660,BAY ST,NEW YORK,NY,10304,-74.075304,40.625884,36,085,002700,2
"318 MOSEL AVE NEW YORK, NY 10304 ",318,MOSEL AVE,NEW YORK,NY,10304,-74.080679,40.608834,36,085,004004,1
"303 ARLINGTON AVE NEW YORK, NY 11208 ",303,ARLINGTON AVE,NEW YORK,NY,11208,-73.883413,40.68117,36,047,117202,2
"76 FORBELL ST NEW YORK, NY 11208 ",76,FORBELL ST,NEW YORK,NY,11208,-73.864985,40.681471,36,047,118600,1
"190-15 111 AVE NEW YORK, NY 11412 ",190-15,111 AVE,NEW YORK,NY,11412,-73.76489,40.702066,36,081,052400,1
"297 NICHOLS AVE NEW YORK, NY 11208 ",297,NICHOLS AVE,NEW YORK,NY,11208,-73.868184,40.68339,36,047,118400,1
"201-20 24 AVE NEW YORK, NY 11360 ",201-20,24 AVE,NEW YORK,NY,11360,-73.790129,40.775926,36,081,099701,2
"21-11 80 ST NEW YORK, NY 11370 ",21-11,80 ST,NEW YORK,NY,11370,-73.889785,40.770443,36,081,031700,3
"2456 E 71 ST NEW YORK, NY 11234 ",2456,E  71 ST,NEW YORK,NY,11234,-73.900974,40.613781,36,047,070601,2
"1495 NOSTRAND AVE NEW YORK, NY 11226 ",1495,NOSTRAND AVE,NEW YORK,NY,11226,-73.949296,40.649757,36,047,082400,4
"31-37 76 ST NEW YORK, NY 11370 ",31-37,76 ST,NEW YORK,NY,11370,-73.891232,40.757557,36,081,030903,2
"144 NAGLE AVE NEW YORK, NY 10040 ",144,NAGLE AVE,NEW YORK,NY,10040,-73.925935,40.861331,36,061,028500,1
"45-41 47 ST NEW YORK, NY 11377 ",45-41,47 ST,NEW YORK,NY,11377,-73.917918,40.741671,36,081,023502,1
"860 4 AVE NEW YORK, NY 11232 ",860,4 AVE,NEW YORK,NY,11232,-74.001606,40.657307,36,047,010100,3
"11 BLEEKER PL NEW YORK, NY 10314 ",11,BLEEKER PL,NEW YORK,NY,10314,-74.163802,40.601229,36,085,029106,1
"215 E 58 ST NEW YORK, NY 11203 ",215,E  58 ST,NEW YORK,NY,11203,-73.922281,40.649908,36,047,093600,1
"74 ASCAN AVE NEW YORK, NY 11375 ",74,ASCAN AVE,NEW YORK,NY,11375,-73.841932,40.715814,36,081,074900,1
"88-42 74 PL NEW YORK, NY 11421 ",88-42,74 PL,NEW YORK,NY,11421,-73.866516,40.687368,36,081,000400,2
"2010 NEREID AVE NEW YORK, NY 10466 ",2010,NEREID AVE,NEW YORK,NY,10466,-73.845478,40.899219,36,005,044400,3
"526 BAY RIDGE PKWY NEW YORK, NY 11209 ",526,BAY RIDGE PKWY,NEW YORK,NY,11209,-74.021995,40.628886,36,047,013400,3
"116-47 230 ST NEW YORK, NY 11411 ",116-47,230 ST,NEW YORK,NY,11411,-73.731018,40.692808,36,081,062200,1
"1045 43 ST NEW YORK, NY 11219 ",1045,43 ST,NEW YORK,NY,11219,-73.994034,40.641779,36,047,011200,1
"100-12 87 AVE NEW YORK, NY 11418 ",100-12,87 AVE,NEW YORK,NY,11418,-73.845919,40.69397,36,081,002800,1
"185 VINELAND AVE NEW YORK, NY 10312 ",185,VINELAND AVE,NEW YORK,NY,10312,-74.18648,40.548909,36,085,017009,3
"1431 BRYANT AVE NEW YORK, NY 10459 ",1431,BRYANT AVE,NEW YORK,NY,10459,-73.888684,40.83091,36,005,012300,2
"464 E 186 ST NEW YORK, NY 10458 ",464,E  186 ST,NEW YORK,NY,10458,-73.892304,40.85709,36,005,038500,1
"1358 44 ST NEW YORK, NY 11219 ",1358,44 ST,NEW YORK,NY,11219,-73.987829,40.636872,36,047,023200,3
"276 1 ST NEW YORK, NY 11215 ",276,1 ST,NEW YORK,NY,11215,-73.983631,40.674398,36,047,013500,3
"145-18 224 ST NEW YORK, NY 11413 ",145-18,224 ST,NEW YORK,NY,11413,-73.755265,40.662835,36,081,068000,4
"479 CLASSON AVE NEW YORK, NY 11238 ",479,CLASSON AVE,NEW YORK,NY,11238,-73.958903,40.68422,36,047,022900,4
"53 RUSSEK DR NEW YORK, NY 10312 ",53,RUSSEK DR,NEW YORK,NY,10312,-74.200041,40.550284,36,085,017013,1
"584 POWELL ST NEW YORK, NY 11212 ",584,POWELL ST,NEW YORK,NY,11212,-73.901606,40.659706,36,047,092000,3
"461 COLLEGE AVE NEW YORK, NY 10314 ",461,COLLEGE AVE,NEW YORK,NY,10314,-74.135914,40.621572,36,085,020100,3
"294 DEVOE ST NEW YORK, NY 11211 ",294,DEVOE ST,NEW YORK,NY,11211,-73.938459,40.713756,36,047,048100,3
"2741 HONE AVE NEW YORK, NY 10469 ",2741,HONE AVE,NEW YORK,NY,10469,-73.85788,40.866772,36,005,034400,1
"227 EDGECOMBE AVE NEW YORK, NY 10030 ",227,EDGECOMBE AVE,NEW YORK,NY,10030,-73.944217,40.823272,36,061,022700,3
"201-12 EPSOM CRSE NEW YORK, NY 11427 ",201-12,EPSOM CRSE,NEW YORK,NY,11427,-73.764218,40.72479,36,081,049201,1
"322 MILFORD ST NEW YORK, NY 11208 ",322,MILFORD ST,NEW YORK,NY,11208,-73.876412,40.671225,36,047,119400,3
"352 THOMAS ST NEW YORK, NY 10306 ",352,THOMAS ST,NEW YORK,NY,10306,-74.139917,40.569252,36,085,013800,1
"224 N 5 ST NEW YORK, NY 11211 ",224,N  5 ST,NEW YORK,NY,11211,-73.95609,40.714849,36,047,051900,2
"3285 RICHMOND AVE NEW YORK, NY 10312 ",3285,RICHMOND AVE,NEW YORK,NY,10312,-74.169322,40.559557,36,085,014607,1
"975 PARK AVE NEW YORK, NY 10028 ",975,PARK AVE,NEW YORK,NY,10028,-73.958501,40.77798,36,061,014000,6
"1069 SOUTHERN BLVD NEW YORK, NY 10459 ",1069,SOUTHERN BLVD,NEW YORK,NY,10459,-73.89213,40.825224,36,005,012701,2
"224-16 137 AVE NEW YORK, NY 11413 ",224-16,137 AVE,NEW YORK,NY,11413,-73.747206,40.674356,36,081,064600,2
"51 E 119 ST NEW YORK, NY 10035 ",51,E  119 ST,NEW YORK,NY,10035,-73.942894,40.802112,36,061,019800,1
"561 72 ST NEW YORK, NY 11209 ",561,72 ST,NEW YORK,NY,11209,-74.019969,40.631019,36,047,013000,2
"570 MONROE ST NEW YORK, NY 11221 ",570,MONROE ST,NEW YORK,NY,11221,-73.934558,40.687151,36,047,029300,3
"240 IRVING AVE NEW YORK, NY 11237 ",240,IRVING AVE,NEW YORK,NY,11237,-73.916829,40.700286,36,047,043100,1
"110 DEWEY PL NEW YORK, NY 10308 ",110,DEWEY PL,NEW YORK,NY,10308,-74.146752,40.555518,36,085,014605,2
"337 W 55 ST NEW YORK, NY 10019 ",337,W  55 ST,NEW YORK,NY,10019,-73.985166,40.766112,36,061,013900,5
"418 EVERGREEN AVE NEW YORK, NY 11221 ",418,EVERGREEN AVE,NEW YORK,NY,11221,-73.921951,40.692995,36,047,039500,1
"16 SULLIVAN PL NEW YORK, NY 11225 ",16,SULLIVAN PL,NEW YORK,NY,11225,-73.960667,40.663978,36,047,021300,3
"31-28 137 ST NEW YORK, NY 11354 ",31-28,137 ST,NEW YORK,NY,11354,-73.831373,40.768779,36,081,088902,1
"92 VINCENT AVE NEW YORK, NY 10306 ",92,VINCENT AVE,NEW YORK,NY,10306,-74.126276,40.571323,36,085,013800,4
"406 E 57 ST NEW YORK, NY 11203 ",406,E  57 ST,NEW YORK,NY,11203,-73.923145,40.645794,36,047,094600,2
"377 PALMETTO ST NEW YORK, NY 11237 ",377,PALMETTO ST,NEW YORK,NY,11237,-73.911851,40.69886,36,047,043900,3
"1467 ARNOW AVE NEW YORK, NY 10469 ",1467,ARNOW AVE,NEW YORK,NY,10469,-73.843505,40.867621,36,005,036000,1
"91-23 220 ST NEW YORK, NY 11428 ",91-23,220 ST,NEW YORK,NY,11428,-73.738867,40.725729,36,081,056000,2
"200-07 22 AVE NEW YORK, NY 11360 ",200-07,22 AVE,NEW YORK,NY,11360,-73.791613,40.777363,36,081,099701,3
"99-52 163 RD NEW YORK, NY 11414 ",99-52,163 RD,NEW YORK,NY,11414,-73.830485,40.652771,36,081,088400,6
