address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce
"150 E 57 ST NEW YORK, NY 10022 ",150,E  57 ST,NEW YORK,NY,10022,-73.96858,40.760489,36,061,011203,1
"301 PARK PL NEW YORK, NY 11238 ",301,PARK PL,NEW YORK,NY,11238,-73.967773,40.676629,36,047,020500,3
"206 COTTER AVE NEW YORK, NY 10306 ",206,COTTER AVE,NEW YORK,NY,10306,-74.142019,40.564129,36,085,014606,4
"37 VAN CORTLANDT AVE NEW YORK, NY 10301 ",37,VAN CORTLANDT AVE,NEW YORK,NY,10301,-74.099542,40.61662,36,085,004700,1
"315 E 58 ST NEW YORK, NY 10022 ",315,E  58 ST,NEW YORK,NY,10022,-73.964063,40.759789,36,061,010802,2
"211 VAN BUREN ST NEW YORK, NY 11221 ",211,VAN BUREN ST,NEW YORK,NY,11221,-73.937848,40.690816,36,047,027900,1
"27-20 COLLEGE POINT BLVD NEW YORK, NY 11354 ",27-20,COLLEGE POINT BLVD,NEW YORK,NY,11354,-73.846163,40.773349,36,081,091900,1
"191-47 115 AVE NEW YORK, NY 11412 ",191-47,115 AVE,NEW YORK,NY,11412,-73.760029,40.696509,36,081,052600,2
"85-18 213 ST NEW YORK, NY 11427 ",85-18,213 ST,NEW YORK,NY,11427,-73.756264,40.729521,36,081,129102,2
"491 W 56 ST NEW YORK, NY 10019 ",491,W  56 ST,NEW YORK,NY,10019,-73.988759,40.768422,36,061,013900,2
"728 MONTGOMERY ST NEW YORK, NY 11213 ",728,MONTGOMERY ST,NEW YORK,NY,11213,-73.940748,40.664707,36,047,033100,2
"1627 W 5 ST NEW YORK, NY 11223 ",1627,W  5 ST,NEW YORK,NY,11223,-73.978373,40.607452,36,047,042400,3
"738 41 ST NEW YORK, NY 11232 ",738,41 ST,NEW YORK,NY,11232,-73.999919,40.646654,36,047,009201,1
"2956 RADCLIFF AVE NEW YORK, NY 10469 ",2956,RADCLIFF AVE,NEW YORK,NY,10469,-73.860228,40.869222,36,005,034200,2
"1660 51 ST NEW YORK, NY 11204 ",1660,51 ST,NEW YORK,NY,11204,-73.985233,40.628888,36,047,047200,3
"746 CRESCENT ST NEW YORK, NY 11208 ",746,CRESCENT ST,NEW YORK,NY,11208,-73.868669,40.669318,36,047,120801,2
"20 HAMILTON TER NEW YORK, NY 10031 ",20,HAMILTON TER,NEW YORK,NY,10031,-73.946849,40.822503,36,061,022700,2
"1126 E 99 ST NEW YORK, NY 11236 ",1126,E  99 ST,NEW YORK,NY,11236,-73.894973,40.640811,36,047,101200,1
"526 80 ST NEW YORK, NY 11209 ",526,80 ST,NEW YORK,NY,11209,-74.023498,40.625253,36,047,013800,1
"83 DARTMOUTH ST NEW YORK, NY 11375 ",83,DARTMOUTH ST,NEW YORK,NY,11375,-73.848804,40.718559,36,081,072300,2
"2025 E 34 ST NEW YORK, NY 11234 ",2025,E  34 ST,NEW YORK,NY,11234,-73.932073,40.608364,36,047,065800,1
"1804 STERLING PL NEW YORK, NY 11233 ",1804,STERLING PL,NEW YORK,NY,11233,-73.918683,40.670662,36,047,036100,1
"2530 FLATBUSH AVE NEW YORK, NY 11234 ",2530,FLATBUSH AVE,NEW YORK,NY,11234,-73.921617,40.608612,36,047,066200,1
"739 KNICKERBOCKER AVE NEW YORK, NY 11237 ",739,KNICKERBOCKER AVE,NEW YORK,NY,11237,-73.909336,40.693809,36,047,043700,4
"697 ALABAMA AVE NEW YORK, NY 11207 ",697,ALABAMA AVE,NEW YORK,NY,11207,-73.894065,40.659151,36,047,113000,4
"1763 E 5 ST NEW YORK, NY 11223 ",1763,E  5 ST,NEW YORK,NY,11223,-73.968563,40.607572,36,047,042200,1
